applicant_age,education,home_ownership,annual_income,employment_years,credit_history_years,credit_score,previous_defaults,loan_purpose,loan_amount,loan_term_months,monthly_debt,debt_to_income,interest_rate,defaulted
46,Graduate,Rent,36500.0,3.0,14.9,719.0,0,Vehicle,18161.0,60,1346.0,0.443,10.7,0
33,Graduate,Mortgage,32914.0,5.9,2.6,562.0,1,Debt Consolidation,9415.0,72,615.0,0.224,19.84,0
40,Not Graduate,Own,45645.0,4.3,4.4,641.0,0,Debt Consolidation,32372.0,48,1012.0,0.266,14.2,0
45,Not Graduate,Mortgage,42665.0,3.6,19.5,641.0,0,Education,22329.0,36,1448.0,0.407,12.64,1
35,Graduate,Own,64513.0,4.3,10.7,674.0,0,Debt Consolidation,39251.0,36,1646.0,0.306,13.06,1
43,Graduate,Mortgage,53688.0,8.2,11.3,659.0,0,Business,90427.0,60,775.0,0.173,12.8,1
31,Graduate,Own,26464.0,11.3,3.4,529.0,1,Home Improvement,34646.0,36,600.0,0.272,16.87,1
34,Graduate,Own,22016.0,8.7,2.9,571.0,1,Medical,26274.0,60,792.0,0.432,15.31,1
34,Graduate,Mortgage,79367.0,8.9,11.3,637.0,1,Debt Consolidation,,36,2849.0,0.431,15.56,1
25,Graduate,Own,42266.0,6.0,1.0,679.0,0,Home Improvement,125190.0,60,395.0,0.112,10.32,1
43,Graduate,Own,51305.0,2.9,7.6,651.0,0,Home Improvement,99030.0,36,991.0,0.232,9.32,0
33,Post Graduate,Rent,56714.0,5.8,8.0,616.0,1,Medical,19492.0,48,1751.0,0.37,15.9,1
38,Graduate,Rent,37765.0,6.9,14.0,681.0,0,Business,64376.0,24,415.0,0.132,10.55,0
43,Graduate,Rent,37312.0,11.6,5.9,688.0,0,Home Improvement,75535.0,72,1207.0,0.388,10.86,1
43,Graduate,Rent,90123.0,15.9,15.5,740.0,0,Home Improvement,41415.0,48,3416.0,0.455,11.78,0
45,Graduate,Rent,51143.0,7.8,9.8,724.0,0,Debt Consolidation,27269.0,48,905.0,0.212,9.15,0
37,Post Graduate,Rent,97004.0,10.9,10.5,706.0,0,Home Improvement,21508.0,24,747.0,0.092,8.99,0
33,Post Graduate,Own,103048.0,1.0,3.1,642.0,1,Home Improvement,29859.0,48,2175.0,0.253,14.27,0
37,Graduate,Mortgage,65674.0,5.1,12.5,652.0,0,Debt Consolidation,15110.0,36,1213.0,0.222,10.46,0
21,Graduate,Own,81709.0,6.0,1.0,692.0,0,Business,62476.0,36,2109.0,0.31,9.99,1
22,Graduate,Mortgage,57322.0,8.5,1.6,714.0,0,Business,82052.0,36,751.0,0.157,6.37,0
23,Graduate,Rent,105210.0,16.1,1.5,711.0,1,Medical,18643.0,48,2583.0,0.295,12.48,0
27,Graduate,Rent,82499.0,7.6,5.2,758.0,0,Debt Consolidation,22075.0,60,738.0,0.107,8.69,0
42,Graduate,Mortgage,87588.0,1.8,11.6,704.0,0,Education,15822.0,36,1003.0,0.137,10.03,0
28,Graduate,Mortgage,37334.0,9.0,4.1,697.0,0,Debt Consolidation,36564.0,60,737.0,0.237,10.69,0
34,Not Graduate,Mortgage,52576.0,4.9,3.4,562.0,1,Home Improvement,28114.0,24,345.0,0.079,16.1,1
52,Graduate,Mortgage,24940.0,8.5,22.4,669.0,0,Home Improvement,12786.0,48,953.0,0.459,14.2,0
34,Graduate,Mortgage,106987.0,9.4,6.2,757.0,0,Education,140534.0,48,1442.0,0.162,7.81,0
46,Not Graduate,Mortgage,35279.0,1.7,14.7,696.0,0,Education,10635.0,72,547.0,0.186,11.21,0
28,Graduate,Mortgage,45793.0,5.8,4.8,638.0,0,Business,17296.0,36,1309.0,0.343,13.92,0
36,Graduate,Mortgage,30782.0,6.0,10.8,687.0,0,Business,64013.0,48,600.0,0.234,9.26,1
28,Graduate,Rent,56032.0,7.5,4.4,688.0,0,Home Improvement,40595.0,60,2061.0,0.441,12.5,1
34,Graduate,Rent,50478.0,3.8,8.1,683.0,0,Debt Consolidation,19094.0,60,470.0,0.112,9.08,1
47,Graduate,Rent,129342.0,3.1,13.9,743.0,0,Medical,15112.0,60,2847.0,0.264,8.35,0
21,Not Graduate,Own,68748.0,16.0,1.0,625.0,1,Home Improvement,36382.0,36,713.0,0.124,14.0,0
43,Post Graduate,Mortgage,57830.0,7.0,10.7,691.0,0,Vehicle,34821.0,60,1693.0,0.351,12.6,0
41,Graduate,Rent,26908.0,3.4,14.2,668.0,0,Debt Consolidation,19204.0,72,472.0,0.21,10.54,0
31,Graduate,Rent,20381.0,4.4,7.7,599.0,0,Education,48856.0,36,275.0,0.162,13.86,1
22,Not Graduate,Mortgage,29429.0,16.4,1.0,611.0,0,Debt Consolidation,38736.0,48,804.0,0.328,12.19,1
39,Not Graduate,Rent,25655.0,12.9,5.2,570.0,0,Vehicle,58987.0,36,860.0,0.402,15.51,1
32,Graduate,Mortgage,66628.0,4.1,5.0,,0,Home Improvement,27518.0,36,2680.0,0.483,10.59,0
41,Graduate,Rent,53358.0,2.9,15.1,655.0,1,Home Improvement,44161.0,36,870.0,0.196,14.89,1
38,Graduate,Rent,57400.0,3.1,13.8,605.0,0,Home Improvement,24946.0,12,257.0,0.054,11.92,0
56,Not Graduate,Rent,30471.0,12.1,12.6,685.0,0,Debt Consolidation,38086.0,48,681.0,0.268,9.3,0
35,Graduate,Rent,60987.0,4.7,11.7,534.0,2,Education,,60,657.0,0.129,18.74,1
27,Graduate,Rent,30056.0,2.1,2.5,675.0,0,Medical,36975.0,36,869.0,0.347,11.09,1
40,Graduate,Rent,54735.0,4.5,15.4,614.0,1,Debt Consolidation,37636.0,12,1641.0,0.36,16.03,1
40,Graduate,Rent,82753.0,7.4,15.6,762.0,0,Vehicle,10008.0,36,1073.0,0.156,9.22,0
53,Graduate,Rent,48318.0,5.8,16.6,676.0,0,Vehicle,20038.0,60,1076.0,0.267,10.97,0
47,Not Graduate,Mortgage,57022.0,13.0,21.3,711.0,0,Vehicle,29606.0,36,588.0,0.124,9.8,0
42,Not Graduate,Rent,19186.0,7.5,11.7,611.0,1,Medical,29973.0,60,498.0,0.311,15.52,1
54,Graduate,Rent,22569.0,8.1,14.4,637.0,1,Debt Consolidation,44519.0,24,612.0,0.325,15.34,0
25,Graduate,Rent,65991.0,10.5,3.5,645.0,0,Education,38245.0,48,2717.0,0.494,12.48,1
31,Not Graduate,Mortgage,74810.0,10.2,2.7,682.0,1,Debt Consolidation,19195.0,60,1649.0,0.265,12.89,1
28,Graduate,Mortgage,51164.0,4.4,2.5,617.0,0,Home Improvement,46862.0,60,1506.0,0.353,14.87,1
34,Graduate,Mortgage,149544.0,3.0,4.4,682.0,0,Debt Consolidation,18125.0,48,3737.0,0.3,10.45,0
23,Graduate,Mortgage,29747.0,7.1,1.7,494.0,2,Medical,46460.0,60,748.0,0.302,21.29,1
45,Not Graduate,Rent,34391.0,6.6,15.8,626.0,1,Debt Consolidation,58776.0,24,762.0,0.266,14.81,1
36,Not Graduate,Mortgage,49741.0,7.5,11.5,625.0,0,Debt Consolidation,28126.0,48,1131.0,0.273,11.52,0
22,Post Graduate,Rent,89844.0,7.9,1.5,631.0,0,Debt Consolidation,19803.0,36,1100.0,0.147,13.1,0
27,Not Graduate,Mortgage,35911.0,15.3,5.2,660.0,0,Home Improvement,19287.0,72,928.0,0.31,11.48,0
41,Graduate,Rent,35360.0,5.2,12.9,568.0,1,Debt Consolidation,15495.0,48,1493.0,0.507,18.06,1
47,Graduate,Rent,75291.0,8.1,20.7,730.0,1,Debt Consolidation,,48,1942.0,0.31,12.13,0
60,Graduate,Mortgage,60473.0,3.0,14.3,695.0,0,Debt Consolidation,25610.0,60,2518.0,0.5,12.62,0
68,Not Graduate,Mortgage,39993.0,3.6,30.9,743.0,0,Business,28069.0,24,727.0,0.218,7.44,0
43,Not Graduate,Mortgage,58455.0,6.3,5.3,689.0,0,Vehicle,11667.0,36,677.0,0.139,10.7,0
27,Graduate,Rent,53565.0,3.3,1.8,721.0,0,Education,21678.0,36,170.0,0.038,9.7,0
21,Post Graduate,Rent,68458.0,9.1,1.0,653.0,0,Debt Consolidation,29765.0,24,1121.0,0.197,11.07,0
41,Graduate,Rent,52604.0,8.3,5.2,675.0,0,Debt Consolidation,23470.0,48,781.0,0.178,11.8,1
29,Graduate,Own,39361.0,4.1,7.2,588.0,0,Debt Consolidation,17288.0,36,192.0,0.059,13.83,1
33,Graduate,Own,37600.0,,6.2,688.0,0,Business,10249.0,24,1204.0,0.384,12.05,0
31,Post Graduate,Rent,57543.0,12.2,8.4,752.0,0,Debt Consolidation,53103.0,12,601.0,0.125,8.92,0
36,Post Graduate,Mortgage,73961.0,7.1,7.8,672.0,1,Debt Consolidation,27673.0,12,2899.0,0.47,13.32,0
50,Not Graduate,Rent,20120.0,20.4,18.8,706.0,0,Debt Consolidation,33738.0,36,223.0,0.133,8.58,0
40,Post Graduate,Mortgage,111524.0,5.5,7.7,686.0,0,Business,42174.0,48,2620.0,0.282,12.35,0
36,Post Graduate,Mortgage,73509.0,5.9,12.6,640.0,1,Home Improvement,37181.0,24,1795.0,0.293,14.2,0
27,Not Graduate,,28919.0,6.3,1.4,533.0,1,Debt Consolidation,32284.0,60,640.0,0.266,16.55,0
21,Post Graduate,Rent,150893.0,1.9,1.0,736.0,1,Home Improvement,,24,2709.0,0.215,10.62,0
33,Graduate,Rent,58035.0,5.7,10.2,672.0,0,Home Improvement,43037.0,36,1765.0,0.365,11.87,0
37,Not Graduate,Rent,25610.0,5.6,11.6,634.0,0,Vehicle,48428.0,36,1070.0,0.501,14.27,0
57,Not Graduate,Mortgage,94734.0,9.6,26.3,850.0,0,Debt Consolidation,60525.0,24,2832.0,0.359,5.5,0
39,Not Graduate,Own,85926.0,12.4,7.1,771.0,0,Medical,14676.0,72,1526.0,0.213,9.68,0
49,Graduate,Rent,37837.0,5.2,13.6,717.0,0,Medical,26602.0,60,1204.0,0.382,9.51,0
33,Not Graduate,Mortgage,40385.0,1.2,3.5,615.0,0,Vehicle,11696.0,36,1184.0,0.352,11.78,1
25,Post Graduate,Mortgage,59334.0,6.9,2.1,628.0,0,Medical,,72,1377.0,0.278,11.48,1
27,Graduate,Mortgage,24337.0,3.3,1.3,663.0,0,Debt Consolidation,25379.0,48,558.0,0.275,11.04,0
30,Post Graduate,Own,84370.0,7.3,6.8,781.0,0,Vehicle,42510.0,60,1922.0,0.273,8.24,0
61,Graduate,Mortgage,83309.0,7.2,32.4,727.0,0,Medical,21737.0,36,1527.0,0.22,9.11,0
29,Graduate,Rent,76542.0,3.9,5.7,602.0,1,Debt Consolidation,40947.0,24,2174.0,0.341,16.5,1
47,Graduate,,,6.9,18.9,676.0,0,Debt Consolidation,23393.0,36,1330.0,0.276,10.66,0
28,Not Graduate,Mortgage,71362.0,2.2,4.1,556.0,2,Vehicle,20584.0,36,649.0,0.109,18.82,1
48,Not Graduate,Mortgage,28019.0,7.6,8.5,700.0,0,Debt Consolidation,18193.0,72,901.0,0.386,9.37,0
42,Graduate,Own,129085.0,10.1,14.1,786.0,0,Medical,33909.0,24,4705.0,0.437,8.53,0
36,Not Graduate,Rent,32995.0,8.5,5.9,641.0,0,Business,31008.0,24,914.0,0.332,13.56,1
38,Graduate,Rent,42300.0,4.5,8.5,580.0,0,Home Improvement,7446.0,48,1820.0,0.516,14.94,0
31,Graduate,Mortgage,43965.0,9.7,8.3,568.0,1,Debt Consolidation,40121.0,48,1431.0,0.391,19.4,1
43,Post Graduate,Mortgage,54458.0,9.1,9.6,758.0,0,Home Improvement,16965.0,48,1275.0,0.281,6.49,0
33,Not Graduate,Rent,42823.0,9.3,4.7,617.0,1,Education,31453.0,36,601.0,0.168,15.5,0
25,Not Graduate,Rent,42083.0,13.3,1.0,638.0,1,Vehicle,15199.0,36,868.0,0.248,15.3,0
24,Not Graduate,Mortgage,49508.0,8.0,2.5,580.0,1,Debt Consolidation,28513.0,24,2095.0,0.508,16.76,1
40,Post Graduate,Mortgage,50435.0,3.0,6.4,651.0,0,Debt Consolidation,5833.0,60,867.0,0.206,12.27,0
55,Graduate,Own,61388.0,3.4,20.6,713.0,0,Debt Consolidation,27763.0,36,1072.0,0.21,8.82,0
40,Graduate,Own,34867.0,8.0,8.3,677.0,0,Debt Consolidation,17477.0,60,484.0,0.167,11.14,0
37,Graduate,Mortgage,79191.0,1.7,11.6,764.0,0,Vehicle,14083.0,36,1685.0,0.255,7.97,0
41,Not Graduate,Rent,64575.0,5.7,15.7,683.0,0,Debt Consolidation,43058.0,60,1427.0,0.265,11.1,0
52,Not Graduate,Own,46581.0,5.0,10.6,668.0,0,Debt Consolidation,26495.0,72,1161.0,0.299,11.15,0
40,Not Graduate,Own,34863.0,8.9,13.7,647.0,0,Medical,20278.0,48,1060.0,0.365,12.22,1
33,Graduate,Own,65513.0,2.7,3.6,590.0,0,Debt Consolidation,18989.0,60,1561.0,0.286,13.6,0
50,Graduate,Mortgage,38199.0,9.0,8.1,637.0,1,Debt Consolidation,46259.0,24,571.0,0.179,14.78,1
43,Not Graduate,Own,47434.0,5.5,10.4,750.0,0,Home Improvement,22268.0,24,1100.0,0.278,10.65,0
55,Post Graduate,Own,68087.0,7.7,13.6,749.0,0,Business,86540.0,60,1362.0,0.24,11.16,1
40,Graduate,Rent,185992.0,2.8,16.2,,0,Medical,45607.0,12,4123.0,0.266,6.28,0
25,Graduate,Mortgage,32788.0,9.2,3.5,731.0,0,Home Improvement,61940.0,60,853.0,0.312,9.65,1
23,Graduate,Rent,17149.0,11.2,2.2,656.0,0,Debt Consolidation,48166.0,36,748.0,0.523,14.43,1
56,Graduate,Rent,42748.0,30.2,9.6,709.0,1,Education,20263.0,36,1303.0,0.366,12.88,0
57,Graduate,Own,26318.0,7.4,23.6,623.0,1,Medical,23870.0,36,284.0,0.129,13.94,1
36,Graduate,Own,41068.0,10.9,9.1,695.0,0,Business,34147.0,72,1238.0,0.362,13.33,0
34,Not Graduate,Mortgage,26046.0,3.3,3.4,548.0,1,Home Improvement,44846.0,60,807.0,0.372,19.23,1
54,Graduate,,37910.0,12.9,23.4,756.0,0,Business,37960.0,60,1165.0,0.369,8.25,0
26,Graduate,Mortgage,35270.0,2.3,4.4,590.0,0,Education,24741.0,60,1165.0,0.396,16.07,0
28,Graduate,Rent,87845.0,15.8,6.1,766.0,0,Home Improvement,70398.0,60,2804.0,0.383,9.42,0
45,Post Graduate,Own,71326.0,6.9,19.5,697.0,0,Debt Consolidation,23622.0,24,1578.0,0.265,9.59,0
34,Graduate,Mortgage,,2.5,3.5,654.0,1,Business,27083.0,72,3657.0,0.475,15.05,0
38,Graduate,Rent,58001.0,5.1,13.4,724.0,1,Debt Consolidation,22673.0,36,500.0,0.103,10.6,0
36,Graduate,Mortgage,86497.0,10.9,12.6,777.0,0,Home Improvement,50979.0,48,1436.0,0.199,5.5,0
42,Not Graduate,Own,40765.0,5.7,13.7,726.0,0,Education,31360.0,60,451.0,0.133,7.39,0
53,Post Graduate,Rent,149404.0,5.7,9.8,839.0,0,Business,49131.0,60,3250.0,0.261,6.83,0
39,Graduate,Own,70399.0,10.3,8.3,545.0,1,Debt Consolidation,32202.0,36,2192.0,0.374,17.49,1
45,Graduate,Rent,40098.0,6.0,5.9,,0,Vehicle,8467.0,48,586.0,0.175,12.4,0
21,Graduate,Rent,75253.0,12.4,1.0,728.0,0,Business,21211.0,36,3079.0,0.491,12.06,0
37,Not Graduate,Rent,,4.4,13.1,592.0,0,Debt Consolidation,24262.0,12,1414.0,0.359,12.49,0
29,Post Graduate,Rent,66552.0,1.8,7.2,668.0,0,Debt Consolidation,33628.0,48,2312.0,0.417,14.17,1
25,Graduate,Rent,59469.0,6.2,3.8,674.0,0,Education,16459.0,48,1303.0,0.263,11.23,0
28,Graduate,Mortgage,,6.7,2.7,649.0,0,Debt Consolidation,16182.0,36,2151.0,0.323,13.03,0
34,Not Graduate,Rent,,4.3,8.1,590.0,0,Medical,19532.0,12,790.0,0.526,17.81,1
48,Not Graduate,Mortgage,39880.0,7.6,14.0,667.0,1,Home Improvement,58657.0,48,1734.0,0.522,15.82,1
23,Graduate,Own,77436.0,2.0,1.5,458.0,1,Debt Consolidation,8655.0,24,2251.0,0.349,21.02,0
38,Graduate,Rent,63685.0,7.7,8.2,709.0,0,Education,6579.0,36,621.0,0.117,8.88,0
33,Graduate,Rent,34308.0,2.9,10.2,700.0,0,Debt Consolidation,73456.0,60,395.0,0.138,9.4,0
34,Not Graduate,Mortgage,16092.0,,9.6,625.0,0,Debt Consolidation,12189.0,36,0.0,0.0,11.2,1
49,Not Graduate,Own,100405.0,6.6,20.9,831.0,0,Home Improvement,22631.0,60,746.0,0.089,6.45,0
44,Not Graduate,Mortgage,42932.0,2.3,4.9,629.0,0,Debt Consolidation,12389.0,60,1162.0,0.325,13.9,0
53,Not Graduate,Rent,92307.0,1.4,14.6,691.0,0,Vehicle,23947.0,36,1964.0,0.255,11.02,0
36,Graduate,,81449.0,8.3,9.0,723.0,0,Education,26242.0,36,2614.0,0.385,10.08,0
30,Graduate,Mortgage,39850.0,3.2,6.0,633.0,0,Debt Consolidation,68588.0,24,1757.0,0.529,14.99,1
36,Graduate,Mortgage,18478.0,8.8,12.0,631.0,0,Vehicle,42040.0,60,285.0,0.185,10.47,1
41,Post Graduate,Rent,59213.0,5.3,6.0,672.0,0,Education,13965.0,12,2038.0,0.413,14.29,0
40,Not Graduate,Mortgage,45926.0,6.6,4.8,559.0,1,Debt Consolidation,9903.0,48,1440.0,0.376,17.52,0
26,Graduate,Rent,69759.0,11.0,4.5,672.0,0,Education,37228.0,60,2092.0,0.36,10.93,1
39,Graduate,Mortgage,34548.0,8.0,9.6,547.0,1,Vehicle,21252.0,36,833.0,0.289,19.06,1
41,Not Graduate,Own,50597.0,8.9,11.0,710.0,0,Business,25653.0,36,1728.0,0.41,12.13,0
66,Not Graduate,Own,,8.7,34.5,,0,Business,73257.0,36,1114.0,0.264,10.12,0
59,Not Graduate,Rent,72782.0,4.0,25.7,689.0,0,Business,14531.0,60,1533.0,0.253,12.31,1
29,Graduate,Mortgage,49609.0,7.8,5.8,630.0,0,Debt Consolidation,23122.0,72,1136.0,0.275,14.13,0
35,Post Graduate,Rent,88974.0,3.4,4.5,715.0,0,Debt Consolidation,40012.0,72,1843.0,0.249,10.34,0
22,Not Graduate,Own,53175.0,7.8,1.2,696.0,0,Education,14777.0,12,1841.0,0.415,9.61,0
32,Not Graduate,,69256.0,5.2,5.6,722.0,0,Vehicle,57755.0,48,217.0,0.038,8.76,0
41,Not Graduate,Mortgage,32292.0,5.8,12.0,672.0,0,Home Improvement,16213.0,48,691.0,0.257,11.47,0
51,Post Graduate,Own,18306.0,14.8,17.0,709.0,0,Debt Consolidation,27208.0,72,642.0,0.421,10.72,0
30,Post Graduate,Mortgage,,8.5,2.0,613.0,1,Business,26076.0,48,2161.0,0.396,15.62,1
